SalesID,SalesDate,CustomerID,ProductID,Quantity,SalesAmount
1001,2025-02-03,1,101,1,55000
1002,2025-02-03,2,102,2,2400
1003,2025-02-04,3,103,1,8500
1004,2025-02-05,4,104,1,12000
1005,2025-02-06,5,105,5,1250
1006,2025-02-07,6,106,2,5000
1007,2025-02-08,7,102,3,3600
1008,2025-02-09,8,101,1,55000
1009,2025-02-10,1,106,1,2500
1010,2025-02-11,2,103,2,17000
1011,2025-02-12,3,105,10,2500
1012,2025-02-13,4,102,1,1200
1013,2025-02-14,5,104,1,12000
1014,2025-02-15,6,101,1,55000
1015,2025-02-16,7,106,2,5000
1016,2025-02-17,8,103,1,8500
